FID,Sector,Long,Lat
0,SOI,-44.5,-58.5
1,SOI,-43.5,-58.5
2,SOI,-47.5,-59.5
3,SOI,-46.5,-59.5
4,SOI,-45.5,-59.5
5,SOI,-44.5,-59.5
6,SOI,-43.5,-59.5
7,SOI,-49.5,-60.5
8,SOI,-48.5,-60.5
9,SOI,-47.5,-60.5
10,SOI,-46.5,-60.5
11,SOI,-45.5,-60.5
12,SOI,-44.5,-60.5
13,SOI,-43.5,-60.5
14,NWAP,-61.5,-61.5
15,NWAP,-60.5,-61.5
16,NWAP,-59.5,-61.5
17,NWAP,-58.5,-61.5
18,NWAP,-57.5,-61.5
19,NWAP,-56.5,-61.5
20,NWAP,-55.5,-61.5
21,NWAP,-54.5,-61.5
22,NWAP,-53.5,-61.5
23,NWAP,-64.5,-62.5
24,NWAP,-63.5,-62.5
25,NWAP,-62.5,-62.5
26,NWAP,-61.5,-62.5
27,NWAP,-60.5,-62.5
28,NWAP,-59.5,-62.5
29,NWAP,-58.5,-62.5
30,NWAP,-57.5,-62.5
31,NWAP,-56.5,-62.5
32,NWAP,-55.5,-62.5
33,NWAP,-54.5,-62.5
34,NWAP,-53.5,-62.5
35,NWAP,-66.5,-63.5
36,NWAP,-65.5,-63.5
37,NWAP,-64.5,-63.5
38,NWAP,-63.5,-63.5
39,NWAP,-62.5,-63.5
40,NWAP,-61.5,-63.5
41,NWAP,-56.5,-63.5
42,NWAP,-55.5,-63.5
43,NWAP,-54.5,-63.5
44,NWAP,-53.5,-63.5
45,NWAP,-69.5,-64.5
46,NWAP,-68.5,-64.5
47,NWAP,-67.5,-64.5
48,NWAP,-66.5,-64.5
49,NWAP,-65.5,-64.5
50,NWAP,-64.5,-64.5
51,NWAP,-71.5,-65.5
52,NWAP,-70.5,-65.5
53,NWAP,-69.5,-65.5
54,NWAP,-68.5,-65.5
55,NWAP,-67.5,-65.5
56,NWAP,-66.5,-65.5
57,SWAP,-73.5,-66.5
58,SWAP,-72.5,-66.5
59,SWAP,-71.5,-66.5
60,SWAP,-70.5,-66.5
61,SWAP,-69.5,-66.5
62,SWAP,-76.5,-67.5
63,SWAP,-75.5,-67.5
64,SWAP,-74.5,-67.5
65,SWAP,-73.5,-67.5
66,SWAP,-72.5,-67.5
67,SWAP,-71.5,-67.5
68,SWAP,-70.5,-67.5
69,SWAP,-69.5,-67.5
70,SWAP,-79.5,-68.5
71,SWAP,-78.5,-68.5
72,SWAP,-77.5,-68.5
73,SWAP,-76.5,-68.5
74,SWAP,-75.5,-68.5
75,SWAP,-74.5,-68.5
76,SWAP,-73.5,-68.5
77,SWAP,-72.5,-68.5
78,SWAP,-71.5,-68.5
79,SWAP,-69.5,-68.5
80,SWAP,-68.5,-68.5
81,SWAP,-81.5,-69.5
82,SWAP,-80.5,-69.5
83,SWAP,-79.5,-69.5
84,SWAP,-78.5,-69.5
85,SWAP,-77.5,-69.5
86,SWAP,-76.5,-69.5
87,SWAP,-75.5,-69.5
88,SWAP,-74.5,-69.5
89,SWAP,-73.5,-69.5
90,SWAP,-81.5,-70.5
91,SWAP,-80.5,-70.5
92,SWAP,-79.5,-70.5
93,SWAP,-78.5,-70.5
94,SWAP,-77.5,-70.5
95,SWAP,-76.5,-70.5
96,SWAP,-75.5,-70.5
97,SWAP,-74.5,-70.5
98,SWAP,-81.5,-71.5
99,SWAP,-80.5,-71.5
100,SWAP,-79.5,-71.5
101,SWAP,-78.5,-71.5
102,SWAP,-77.5,-71.5
103,SWAP,-76.5,-71.5
104,SWAP,-75.5,-71.5
105,SWAP,-74.5,-71.5
106,SWAP,-81.5,-72.5
107,SWAP,-80.5,-72.5
108,SWAP,-74.5,-72.5
109,SWAP,-73.5,-72.5
